observation_index,saison,spieltag,spiel,baseline_model,candidate_model,baseline_negative_log_score,candidate_negative_log_score,candidate_score_advantage,cumulative_candidate_score_advantage
282,18/19,32,4,poisson_rolling_306,com_poisson_rolling_306,2.9277369690693362,2.7632864228887826,0.16445054618055366,3.045677915333968
283,18/19,32,5,poisson_rolling_306,com_poisson_rolling_306,2.9676899375611114,2.825148240871144,0.14254169668996752,3.1882196120239357
284,18/19,32,6,poisson_rolling_306,com_poisson_rolling_306,3.1074038364546013,3.035212922317683,0.07219091413691814,3.260410526160854
285,18/19,32,7,poisson_rolling_306,com_poisson_rolling_306,4.706620879067991,5.264403679869318,-0.557782800801327,2.702627725359527
286,18/19,32,8,poisson_rolling_306,com_poisson_rolling_306,3.171985593602777,3.0866036484715806,0.08538194513119635,2.788009670490723
287,18/19,32,9,poisson_rolling_306,com_poisson_rolling_306,3.472749630996013,3.5751925735783487,-0.10244294258233566,2.6855667279083875
288,18/19,33,1,poisson_rolling_306,com_poisson_rolling_306,3.174151183194553,3.0902547639480105,0.08389641924654256,2.76946314715493
289,18/19,33,2,poisson_rolling_306,com_poisson_rolling_306,3.633885071191557,3.810000662790472,-0.176115591598915,2.593347555556015
290,18/19,33,3,poisson_rolling_306,com_poisson_rolling_306,4.031174486748867,4.390122764587531,-0.3589482778386639,2.234399277717351
291,18/19,33,4,poisson_rolling_306,com_poisson_rolling_306,3.105179239730674,3.032435852602319,0.07274338712835515,2.3071426648457063
292,18/19,33,5,poisson_rolling_306,com_poisson_rolling_306,3.403354024153245,3.41186272503559,-0.00850870088234501,2.2986339639633613
293,18/19,33,6,poisson_rolling_306,com_poisson_rolling_306,2.9593239618321405,2.7934835437276746,0.16584041810446593,2.464474382067827
294,18/19,33,7,poisson_rolling_306,com_poisson_rolling_306,3.025659955256728,2.9138357803998787,0.11182417485684937,2.5762985569246766
295,18/19,33,8,poisson_rolling_306,com_poisson_rolling_306,3.025659955256728,2.9138357803998787,0.11182417485684937,2.688122731781526
296,18/19,33,9,poisson_rolling_306,com_poisson_rolling_306,4.712737636343903,5.267481645452406,-0.5547440091085036,2.1333787226730223
